,SPY213303,SPY213304,SPY213305,SPY213306,SPY213307,SPY213308,SPY213309,SPY213310,SPY213311,SPY213312,SPY213313,SPY213314,SPY213315,SPY213316,SPY213317,SPY213318,SPY213319,SPY213320,SPY213321,SPY213323,SPY213324,SPY213325,SPY213326,SPY213327,SPY213328,SPY213329,SPY213330,SPY213331,SPY213332,SPY213333,SPY213334,SPY213335,SPY213336,SPY213337,SPY213338,SPY213339,SPY213340,SPY213341,SPY213342,SPY213343,SPY213344,SPY213345,SPY213346,SPY213347,SPY213348,SPY213349,SPY213350,SPY213351
ASV_93,0,0,0,0,0,0,0,0,7905,0,0,0,0,0,0,87,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0
ASV_94,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,6991,258,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_95,0,0,0,62,0,0,0,0,0,0,0,0,0,0,2168,0,510,669,0,137,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,0,108,0,0,0,1864,1322
ASV_96,0,0,0,0,351,0,161,1455,55,0,0,0,0,70,0,1703,96,721,562,0,0,811,756,74,415,396,40,0,0,0,102,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0
ASV_97,0,0,0,0,0,0,0,0,135,0,0,16,0,342,0,0,0,3625,3239,0,0,0,0,0,0,0,44,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_98,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,6990,282,0,0,0,0,0,0,0,33,0,0,0,0,0
ASV_99,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,176,173,0,0,0,0,0,0,0,0,6736,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_100,0,0,0,0,0,0,0,0,0,0,0,0,0,213,15,85,163,191,0,0,0,20,18,0,0,0,0,0,0,30,0,0,57,120,814,5517,179,0,0,0,0,0,0,0,0,0,0,0
ASV_101,0,0,0,0,0,1000,6178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0
ASV_102,47,81,1325,70,0,0,0,0,14,0,60,18,59,881,154,135,44,51,25,271,330,0,33,95,165,87,17,182,0,1018,14,143,0,0,0,1152,0,83,60,0,0,0,0,0,0,0,282,278
ASV_103,50,87,273,117,78,247,61,102,71,16,49,57,152,384,22,63,53,63,0,0,0,0,40,0,0,9,12,51,0,0,0,281,1359,466,125,411,200,57,26,60,171,858,747,12,48,30,28,0
ASV_104,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,88,71,5928,579,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_105,0,0,0,0,0,0,185,63,13,1970,497,208,0,117,8,223,149,82,0,9,11,37,170,0,0,0,0,0,0,0,0,776,51,0,582,94,328,0,0,0,1069,30,0,55,0,84,68,0
ASV_106,168,116,132,360,127,331,0,0,81,198,332,0,195,117,125,0,0,0,0,0,131,0,0,0,0,0,0,0,498,0,386,484,744,571,286,0,123,160,266,617,0,301,0,0,0,0,0,0
ASV_107,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,1064,76,0,0,5388,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_108,0,0,0,0,39,0,0,0,0,0,0,0,322,0,100,0,689,777,124,57,87,118,417,607,144,404,1,0,0,561,0,0,974,0,140,645,212,0,0,0,0,0,0,251,0,0,0,0
ASV_109,0,93,91,87,0,0,187,86,417,0,0,178,79,0,0,507,40,0,0,0,0,0,0,0,0,72,218,703,64,163,1350,112,1404,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0
ASV_110,633,226,1181,264,80,0,0,0,0,506,0,0,379,0,0,0,0,0,0,0,0,0,420,0,0,0,0,136,0,0,0,0,0,0,702,474,0,188,193,120,0,602,0,0,0,0,195,197
ASV_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5839,0,0,0,0,0,0,527,0,0,0,0,0,0
ASV_112,0,597,0,746,0,559,0,0,0,0,0,97,172,0,0,101,0,0,93,0,0,0,0,0,1636,0,50,0,0,0,0,246,650,322,0,245,0,0,347,0,115,0,387,0,0,0,0,0
ASV_113,0,0,10,0,0,0,850,376,1683,0,0,337,0,437,0,913,126,224,106,60,0,39,104,0,54,0,709,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
